Date,Price
3/9/2015,190.880005
3/10/2015,190.320007
3/11/2015,193.740005
3/12/2015,191.070007
3/13/2015,188.679993
3/16/2015,195.699997
3/17/2015,194.729996
3/18/2015,200.710007
3/19/2015,195.649994
3/20/2015,198.080002
3/23/2015,199.630005
3/24/2015,201.720001
3/25/2015,194.300003
3/26/2015,190.410004
3/27/2015,185
3/30/2015,190.570007
3/31/2015,188.770004
4/1/2015,187.589996
4/2/2015,191
4/6/2015,203.100006
4/7/2015,203.25
4/8/2015,207.669998
4/9/2015,210.089996
4/10/2015,210.899994
4/13/2015,209.779999
4/14/2015,207.460007
4/15/2015,207.830002
4/16/2015,206.699997
4/17/2015,206.789993
4/20/2015,205.270004
4/21/2015,209.410004
4/22/2015,219.440002
4/23/2015,218.600006
4/24/2015,218.429993
4/27/2015,231.550003
4/28/2015,230.479996
4/29/2015,232.449997
4/30/2015,226.050003
5/1/2015,226.029999
5/4/2015,230.509995
5/5/2015,232.949997
5/6/2015,230.429993
5/7/2015,236.800003
5/8/2015,236.610001
5/11/2015,239.490005
5/12/2015,244.740005
5/13/2015,243.179993
5/14/2015,244.100006
5/15/2015,248.839996
5/18/2015,248.75
5/19/2015,247.139999
5/20/2015,244.350006
5/21/2015,245.619995
5/22/2015,247.729996
5/26/2015,247.460007
5/27/2015,247.429993
5/28/2015,251.449997
5/29/2015,250.800003
6/1/2015,249.449997
6/2/2015,248.350006
6/3/2015,248.990005
6/4/2015,245.919998
6/5/2015,249.139999
6/8/2015,256.290009
6/9/2015,256
6/10/2015,250.699997
6/11/2015,251.410004
6/12/2015,250.690002
6/15/2015,250.380005
6/16/2015,253.119995
6/17/2015,260.410004
6/18/2015,261.890015
6/19/2015,262.51001
6/22/2015,259.790009
6/23/2015,267.670013
6/24/2015,265.170013
6/25/2015,268.790009
6/26/2015,267.089996
6/29/2015,262.019989
6/30/2015,268.26001
7/1/2015,269.149994
7/2/2015,280.019989
7/6/2015,279.720001
7/7/2015,267.880005
7/8/2015,254.960007
7/9/2015,257.920013
7/10/2015,259.149994
7/13/2015,262.160004
7/14/2015,265.649994
7/15/2015,263.140015
7/16/2015,266.679993
7/17/2015,274.660004
7/20/2015,282.26001
7/21/2015,266.769989
7/22/2015,267.869995
7/23/2015,267.200012
7/24/2015,265.410004
7/27/2015,253.009995
7/28/2015,264.820007
7/29/2015,263.820007
7/30/2015,266.790009
7/31/2015,266.149994
8/3/2015,259.98999
8/4/2015,266.279999
8/5/2015,270.130005
8/6/2015,246.130005
8/7/2015,242.509995
8/10/2015,241.139999
8/11/2015,237.369995
8/12/2015,238.169998
8/13/2015,242.509995
8/14/2015,243.149994
8/17/2015,254.990005
8/18/2015,260.720001
8/19/2015,255.25
8/20/2015,242.179993
8/21/2015,230.770004
8/24/2015,218.869995
8/25/2015,220.029999
8/26/2015,224.839996
8/27/2015,242.990005
8/28/2015,248.479996
8/31/2015,249.059998
9/1/2015,238.630005
9/2/2015,247.690002
9/3/2015,245.570007
9/4/2015,241.929993
9/8/2015,248.169998
9/9/2015,248.910004
9/10/2015,248.479996
9/11/2015,250.240005
9/14/2015,253.190002
9/15/2015,253.570007
9/16/2015,262.25
9/17/2015,262.070007
9/18/2015,260.619995
9/21/2015,264.200012
9/22/2015,260.940002
9/23/2015,261.059998
9/24/2015,263.119995
9/25/2015,256.910004
9/28/2015,248.429993
9/29/2015,246.649994
9/30/2015,248.399994
10/1/2015,239.880005
10/2/2015,247.570007
10/5/2015,246.149994
10/6/2015,241.460007
10/7/2015,231.960007
10/8/2015,226.720001
10/9/2015,220.690002
10/12/2015,215.580002
10/13/2015,219.25
10/14/2015,216.880005
10/15/2015,221.309998
10/16/2015,227.009995
10/19/2015,228.100006
10/20/2015,213.029999
10/21/2015,210.089996
10/22/2015,211.720001
10/23/2015,209.089996
10/26/2015,215.259995
10/27/2015,210.350006
10/28/2015,212.960007
10/29/2015,211.630005
10/30/2015,206.929993
11/2/2015,213.789993
11/3/2015,208.350006
11/4/2015,231.630005
11/5/2015,231.770004
11/6/2015,232.360001
11/9/2015,225.330002
11/10/2015,216.5
11/11/2015,219.080002
11/12/2015,212.940002
11/13/2015,207.190002
11/16/2015,214.309998
11/17/2015,214
11/18/2015,221.070007
11/19/2015,221.800003
11/20/2015,220.009995
11/23/2015,217.75
11/24/2015,218.25
11/25/2015,229.639999
11/27/2015,231.610001
11/30/2015,230.259995
12/1/2015,237.190002
12/2/2015,231.990005
12/3/2015,232.710007
12/4/2015,230.380005
12/7/2015,231.130005
12/8/2015,226.720001
12/9/2015,224.520004
12/10/2015,227.070007
12/11/2015,217.020004
12/14/2015,218.580002
12/15/2015,221.089996
12/16/2015,234.509995
12/17/2015,233.389999
12/18/2015,230.460007
12/21/2015,232.559998
12/22/2015,229.949997
12/23/2015,229.699997
12/24/2015,230.570007
12/28/2015,228.949997
12/29/2015,237.190002
12/30/2015,238.089996
12/31/2015,240.009995
1/4/2016,223.410004
1/5/2016,223.429993
1/6/2016,219.039993
1/7/2016,215.649994
1/8/2016,211
1/11/2016,207.850006
1/12/2016,209.970001
1/13/2016,200.309998
1/14/2016,206.179993
1/15/2016,204.990005
1/19/2016,204.720001
1/20/2016,198.699997
1/21/2016,199.970001
1/22/2016,202.550003
1/25/2016,196.380005
1/26/2016,193.559998
1/27/2016,188.070007
1/28/2016,189.699997
1/29/2016,191.199997
2/1/2016,196.940002
2/2/2016,182.779999
2/3/2016,173.479996
2/4/2016,175.330002
2/5/2016,162.600006
2/8/2016,147.990005
2/9/2016,148.25
2/10/2016,143.669998
2/11/2016,150.470001
2/12/2016,151.039993
2/16/2016,155.169998
2/17/2016,168.679993
2/18/2016,166.770004
2/19/2016,166.580002
2/22/2016,177.740005
2/23/2016,177.210007
2/24/2016,179
2/25/2016,187.429993
2/26/2016,190.339996
2/29/2016,191.929993
3/1/2016,186.350006
3/2/2016,188.339996
3/3/2016,195.740005
3/4/2016,201.039993
3/7/2016,205.289993
3/8/2016,202.600006
3/9/2016,208.720001
3/10/2016,205.179993
3/11/2016,207.5
3/14/2016,215.149994
3/15/2016,218.339996
3/16/2016,221.929993
3/17/2016,226.380005
3/18/2016,232.740005
3/21/2016,238.320007
3/22/2016,234.240005
3/23/2016,222.580002
3/24/2016,227.75
3/28/2016,230.259995
3/29/2016,230.130005
3/30/2016,226.889999
3/31/2016,229.770004
4/1/2016,237.589996
4/4/2016,246.990005
4/5/2016,255.470001
4/6/2016,265.420013
4/7/2016,257.200012
4/8/2016,250.070007
4/11/2016,249.919998
4/12/2016,247.820007
4/13/2016,254.529999
4/14/2016,251.860001
4/15/2016,254.509995
4/18/2016,253.880005
4/19/2016,247.369995
4/20/2016,249.970001
4/21/2016,248.289993
4/22/2016,253.75
