Date,Closing_price
11/27/17,67.19
11/28/17,67.71
11/29/17,68.08
11/30/17,69.10
12/1/17,69.68
12/4/17,69.65
12/5/17,69.35
12/6/17,68.45
12/7/17,68.65
12/8/17,69.28
12/11/17,69.78
12/12/17,69.59
12/13/17,69.49
12/14/17,69.24
12/15/17,68.72
12/18/17,69.25
12/19/17,69.35
12/20/17,70.33
12/21/17,71.82
12/22/17,71.97
12/26/17,72.60
12/27/17,72.36
12/28/17,72.47
12/29/17,72.26
1/2/18,73.45
1/3/18,74.55
1/4/18,75.00
1/5/18,74.97
1/8/18,75.42
1/9/18,75.23
1/10/18,75.14
1/11/18,76.68
1/12/18,77.42
1/16/18,76.44
1/17/18,77.11
1/18/18,76.48
1/19/18,76.38
1/22/18,78.03
1/23/18,77.91
1/24/18,77.70
1/25/18,77.09
1/26/18,77.51
1/29/18,76.34
1/30/18,74.80
1/31/18,74.85
2/1/18,75.62
2/2/18,72.46
2/5/18,69.42
2/6/18,69.97
2/7/18,68.80
2/8/18,66.72
2/9/18,66.67
2/12/18,67.76
2/13/18,67.48
2/14/18,68.46
2/15/18,68.29
2/16/18,68.12
2/20/18,67.75
2/21/18,66.61
2/22/18,67.34
2/23/18,68.80
2/26/18,69.21
2/27/18,68.31
2/28/18,66.74
3/1/18,66.64
3/2/18,66.95
3/5/18,67.66
3/6/18,67.70
3/7/18,67.19
3/8/18,67.17
3/9/18,68.45
3/12/18,68.43
3/13/18,67.94
3/14/18,67.54
3/15/18,67.19
3/16/18,67.31
3/19/18,66.27
3/20/18,66.83
3/21/18,68.58
3/22/18,67.18
3/23/18,66.77
3/26/18,67.97
3/27/18,67.33
3/28/18,66.02
3/29/18,67.41
4/2/18,66.06
4/3/18,67.47
4/4/18,67.38
4/5/18,68.59
4/6/18,67.35
4/9/18,67.67
4/10/18,69.91
4/11/18,70.64
4/12/18,70.63
4/13/18,71.41
4/16/18,72.14
4/17/18,72.42
4/18/18,73.56
4/19/18,73.65
4/20/18,73.30
4/23/18,73.75
4/24/18,72.96
4/25/18,73.54
4/26/18,74.61
4/27/18,73.82
4/30/18,73.81
5/1/18,73.36
5/2/18,73.66
5/3/18,73.49
5/4/18,73.85
5/7/18,73.95
5/8/18,74.53
5/9/18,76.05
5/10/18,76.62
5/11/18,76.73
5/14/18,77.26
5/15/18,77.28
5/16/18,77.55
5/17/18,78.72
5/18/18,78.11
5/21/18,78.91
5/22/18,77.86
5/23/18,77.85
5/24/18,76.57
5/25/18,74.58
5/29/18,74.35
5/30/18,76.60
5/31/18,76.02
6/1/18,76.38
6/4/18,75.72
6/5/18,75.54
6/6/18,75.90
6/7/18,77.05
6/8/18,76.90
6/11/18,77.30
6/12/18,76.71
6/13/18,76.42
6/14/18,76.31
6/15/18,74.17
6/18/18,74.91
6/19/18,74.74
6/20/18,75.07
6/21/18,73.68
6/22/18,75.15
6/25/18,73.64
6/26/18,74.57
6/27/18,75.57
6/28/18,75.47
6/29/18,75.94
7/2/18,74.82
7/3/18,75.29
7/5/18,75.21
7/6/18,75.67
7/9/18,76.80
7/10/18,77.37
7/11/18,75.73
7/12/18,75.86
7/13/18,76.26
7/16/18,75.38
7/17/18,75.08
7/18/18,75.13
7/19/18,75.15
7/20/18,74.89
7/23/18,74.56
7/24/18,75.50
7/25/18,76.13
7/26/18,76.96
7/27/18,76.63
7/30/18,77.26
7/31/18,77.12
8/1/18,76.05
8/2/18,75.63
8/3/18,75.24
8/6/18,75.52
8/7/18,76.08
8/8/18,75.53
8/9/18,74.83
8/10/18,75.29
8/13/18,74.33
8/14/18,74.51
8/15/18,71.91
8/16/18,72.43
8/17/18,72.61
8/20/18,73.10
8/21/18,73.47
8/22/18,74.35
8/23/18,74.00
8/24/18,74.54
8/27/18,75.09
8/28/18,74.77
8/29/18,75.23
8/30/18,75.02
8/31/18,74.44
9/4/18,74.28
9/5/18,74.18
9/6/18,72.81
9/7/18,72.80
9/10/18,72.77
9/11/18,73.46
9/12/18,73.84
9/13/18,73.87
9/14/18,74.26
9/17/18,74.38
9/18/18,74.87
9/19/18,75.10
9/20/18,75.12
9/21/18,75.10
9/24/18,76.20
9/25/18,76.69
9/26/18,75.95
9/27/18,75.95
9/28/18,75.74
10/1/18,76.79
10/2/18,76.87
10/3/18,77.49
10/4/18,77.17
10/5/18,77.16
10/8/18,77.10
10/9/18,77.79
10/10/18,75.35
10/11/18,72.80
10/12/18,73.00
10/15/18,72.39
10/16/18,72.99
10/17/18,72.53
10/18/18,72.17
10/19/18,71.53
10/22/18,70.74
10/23/18,68.89
10/24/18,66.17
10/25/18,66.98
10/26/18,66.48
10/29/18,65.24
10/30/18,66.75
10/31/18,67.16
11/1/18,67.73
11/2/18,67.56
11/5/18,68.69
11/6/18,69.01
11/7/18,70.14
11/8/18,68.62
11/9/18,68.50
11/12/18,67.08
11/13/18,65.54
11/14/18,65.43
11/15/18,66.39
11/16/18,67.18
11/19/18,67.16
11/20/18,64.96
11/21/18,65.98
11/23/18,63.91
