Date,AdjClose
22/3/2018,51.08
23/3/2018,49.81
26/3/2018,50.64
27/3/2018,49.71
28/3/2018,49.66
29/3/2018,50.74
2/4/2018,48.61
3/4/2018,50.26
4/4/2018,50.82
5/4/2018,50.92
6/4/2018,49.11
9/4/2018,48.65
10/4/2018,46.35
11/4/2018,44.33
12/4/2018,45.48
13/4/2018,44.79
16/4/2018,45.31
17/4/2018,44.68
18/4/2018,46.64
19/4/2018,45.78
20/4/2018,45.68
23/4/2018,45.58
24/4/2018,44.62
25/4/2018,44.19
26/4/2018,41.38
27/4/2018,42.38
30/4/2018,41.92
1/5/2018,42.34
2/5/2018,41.25
3/5/2018,41.12
4/5/2018,41.85
7/5/2018,41.54
8/5/2018,42.09
9/5/2018,40.62
10/5/2018,41.15
11/5/2018,41.70
14/5/2018,41.56
15/5/2018,42.28
16/5/2018,43.13
17/5/2018,42.71
18/5/2018,42.46
21/5/2018,43.34
22/5/2018,41.97
23/5/2018,41.89
24/5/2018,42.64
25/5/2018,43.96
29/5/2018,42.67
30/5/2018,42.38
31/5/2018,42.62
1/6/2018,43.07
4/6/2018,43.91
5/6/2018,43.24
6/6/2018,43.25
7/6/2018,42.91
8/6/2018,42.20
11/6/2018,43.22
12/6/2018,42.49
13/6/2018,42.01
14/6/2018,42.17
15/6/2018,41.86
18/6/2018,41.54
19/6/2018,40.63
20/6/2018,41.14
21/6/2018,40.61
22/6/2018,40.47
25/6/2018,38.84
26/6/2018,38.26
27/6/2018,37.45
28/6/2018,37.39
29/6/2018,37.16
2/7/2018,37.55
3/7/2018,36.95
5/7/2018,37.19
6/7/2018,37.28
9/7/2018,38.48
10/7/2018,38.29
11/7/2018,35.20
12/7/2018,35.56
13/7/2018,36.33
16/7/2018,36.49
17/7/2018,36.59
18/7/2018,37.56
19/7/2018,37.32
20/7/2018,37.08
23/7/2018,37.23
24/7/2018,36.66
25/7/2018,37.38
26/7/2018,39.17
27/7/2018,38.85
30/7/2018,38.14
31/7/2018,38.70
1/8/2018,37.33
2/8/2018,37.13
3/8/2018,37.61
6/8/2018,37.69
7/8/2018,37.55
8/8/2018,37.67
9/8/2018,37.21
10/8/2018,36.57
13/8/2018,36.10
14/8/2018,36.40
15/8/2018,36.74
16/8/2018,37.45
17/8/2018,37.09
20/8/2018,39.25
21/8/2018,39.58
22/8/2018,38.46
23/8/2018,38.11
24/8/2018,38.10
27/8/2018,38.78
28/8/2018,39.93
29/8/2018,39.75
30/8/2018,39.65
31/8/2018,39.73
4/9/2018,40.01
5/9/2018,38.93
6/9/2018,37.76
7/9/2018,37.71
10/9/2018,38.70
11/9/2018,39.43
12/9/2018,38.53
13/9/2018,38.74
14/9/2018,39.00
17/9/2018,39.57
18/9/2018,40.03
19/9/2018,40.83
20/9/2018,41.11
21/9/2018,42.79
24/9/2018,41.20
25/9/2018,40.05
26/9/2018,40.28
27/9/2018,40.73
28/9/2018,40.56
1/10/2018,38.87
2/10/2018,37.78
3/10/2018,38.08
4/10/2018,37.21
5/10/2018,35.76
8/10/2018,35.23
9/10/2018,32.93
10/10/2018,31.02
11/10/2018,30.69
12/10/2018,30.33
15/10/2018,31.19
16/10/2018,32.66
17/10/2018,32.94
18/10/2018,31.46
19/10/2018,31.44
22/10/2018,31.56
23/10/2018,31.78
24/10/2018,29.78
25/10/2018,31.77
26/10/2018,31.86
29/10/2018,31.99
30/10/2018,34.01
31/10/2018,34.43
1/11/2018,35.69
2/11/2018,35.65
5/11/2018,35.15
6/11/2018,34.61
7/11/2018,36.38
8/11/2018,36.27
9/11/2018,35.64
12/11/2018,36.27
13/11/2018,37.18
14/11/2018,37.50
15/11/2018,37.22
16/11/2018,36.17
19/11/2018,35.25
20/11/2018,35.02
21/11/2018,35.73
23/11/2018,37.35
26/11/2018,37.49
27/11/2018,37.68
28/11/2018,38.32
29/11/2018,37.81
30/11/2018,39.52
3/12/2018,39.02
4/12/2018,36.11
6/12/2018,36.35
7/12/2018,33.04
10/12/2018,33.30
11/12/2018,33.56
12/12/2018,33.80
13/12/2018,31.94
14/12/2018,31.89
17/12/2018,31.53
18/12/2018,33.01
19/12/2018,31.90
20/12/2018,31.38
21/12/2018,30.29
