Date,AAL,CLF
22/3/2018,51.08,64.300003
23/3/2018,49.81,65.879997
26/3/2018,50.64,65.550003
27/3/2018,49.71,65.25
28/3/2018,49.66,64.379997
29/3/2018,50.74,64.940002
2/4/2018,48.61,63.009998
3/4/2018,50.26,63.509998
4/4/2018,50.82,63.369999
5/4/2018,50.92,63.540001
6/4/2018,49.11,62.060001
9/4/2018,48.65,63.419998
10/4/2018,46.35,65.510002
11/4/2018,44.33,66.82
12/4/2018,45.48,67.07
13/4/2018,44.79,67.389999
16/4/2018,45.31,66.220001
17/4/2018,44.68,66.519997
18/4/2018,46.64,68.470001
19/4/2018,45.78,68.290001
20/4/2018,45.68,68.379997
23/4/2018,45.58,68.639999
24/4/2018,44.62,67.699997
25/4/2018,44.19,68.050003
26/4/2018,41.38,68.190002
27/4/2018,42.38,68.099998
30/4/2018,41.92,68.57
1/5/2018,42.34,67.25
2/5/2018,41.25,67.93
3/5/2018,41.12,68.43
4/5/2018,41.85,69.720001
7/5/2018,41.54,70.730003
8/5/2018,42.09,69.059998
9/5/2018,40.62,71.139999
10/5/2018,41.15,71.360001
11/5/2018,41.7,70.699997
14/5/2018,41.56,70.959999
15/5/2018,42.28,71.309998
16/5/2018,43.13,71.489998
17/5/2018,42.71,71.489998
18/5/2018,42.46,71.279999
21/5/2018,43.34,72.239998
22/5/2018,41.97,72.129997
23/5/2018,41.89,71.839996
24/5/2018,42.64,70.709999
25/5/2018,43.96,67.879997
29/5/2018,42.67,66.730003
30/5/2018,42.38,68.209999
31/5/2018,42.62,67.040001
1/6/2018,43.07,65.809998
4/6/2018,43.91,64.75
5/6/2018,43.24,65.519997
6/6/2018,43.25,64.730003
7/6/2018,42.91,65.949997
8/6/2018,42.2,65.739998
11/6/2018,43.22,66.099998
12/6/2018,42.49,66.360001
13/6/2018,42.01,66.639999
14/6/2018,42.17,66.889999
15/6/2018,41.86,65.059998
18/6/2018,41.54,65.849998
19/6/2018,40.63,65.07
20/6/2018,41.14,66.220001
21/6/2018,40.61,65.540001
22/6/2018,40.47,68.580002
25/6/2018,38.84,68.080002
26/6/2018,38.26,70.529999
27/6/2018,37.45,72.760002
28/6/2018,37.39,73.449997
29/6/2018,37.16,74.150002
2/7/2018,37.55,73.940002
5/7/2018,37.19,72.940002
6/7/2018,37.28,73.800003
9/7/2018,38.48,73.849998
10/7/2018,38.29,74.110001
11/7/2018,35.2,70.379997
12/7/2018,35.56,70.330002
13/7/2018,36.33,71.010002
16/7/2018,36.49,68.059998
17/7/2018,36.59,68.080002
18/7/2018,37.56,68.760002
19/7/2018,37.32,69.459999
20/7/2018,37.08,70.459999
23/7/2018,37.23,67.889999
24/7/2018,36.66,68.519997
25/7/2018,37.38,69.300003
26/7/2018,39.17,69.610001
27/7/2018,38.85,68.690002
30/7/2018,38.14,70.129997
31/7/2018,38.7,68.760002
1/8/2018,37.33,67.660004
2/8/2018,37.13,68.959999
3/8/2018,37.61,68.489998
6/8/2018,37.69,69.010002
7/8/2018,37.55,69.169998
8/8/2018,37.67,66.940002
9/8/2018,37.21,66.809998
10/8/2018,36.57,67.629997
13/8/2018,36.1,67.199997
14/8/2018,36.4,67.040001
15/8/2018,36.74,65.010002
16/8/2018,37.45,65.459999
17/8/2018,37.09,65.910004
20/8/2018,39.25,66.43
21/8/2018,39.58,67.349998
22/8/2018,38.46,67.860001
23/8/2018,38.11,67.830002
24/8/2018,38.1,68.720001
27/8/2018,38.78,68.870003
28/8/2018,39.93,68.529999
29/8/2018,39.75,69.510002
30/8/2018,39.65,70.25
31/8/2018,39.73,69.800003
4/9/2018,40.01,69.870003
5/9/2018,38.93,68.720001
6/9/2018,37.76,67.769997
7/9/2018,37.71,67.75
10/9/2018,38.7,67.540001
11/9/2018,39.43,69.25
12/9/2018,38.53,70.370003
13/9/2018,38.74,68.589996
14/9/2018,39,68.989998
17/9/2018,39.57,68.910004
18/9/2018,40.03,69.849998
19/9/2018,40.83,71.120003
20/9/2018,41.11,70.800003
21/9/2018,42.79,70.779999
24/9/2018,41.2,72.080002
25/9/2018,40.05,72.279999
26/9/2018,40.28,71.57
27/9/2018,40.73,72.120003
28/9/2018,40.56,73.25
1/10/2018,38.87,75.300003
2/10/2018,37.78,75.230003
3/10/2018,38.08,76.410004
4/10/2018,37.21,74.330002
5/10/2018,35.76,74.339996
8/10/2018,35.23,74.290001
9/10/2018,32.93,74.959999
10/10/2018,31.02,73.169998
11/10/2018,30.69,70.970001
12/10/2018,30.33,71.339996
15/10/2018,31.19,71.779999
16/10/2018,32.66,71.919998
17/10/2018,32.94,69.75
18/10/2018,31.46,68.650002
19/10/2018,31.44,69.120003
22/10/2018,31.56,69.169998
23/10/2018,31.78,66.43
24/10/2018,29.78,66.82
25/10/2018,31.77,67.330002
26/10/2018,31.86,67.589996
29/10/2018,31.99,67.040001
30/10/2018,34.01,66.18
31/10/2018,34.43,65.309998
1/11/2018,35.69,63.689999
2/11/2018,35.65,63.139999
5/11/2018,35.15,63.099998
6/11/2018,34.61,62.209999
7/11/2018,36.38,61.669998
8/11/2018,36.27,60.669998
9/11/2018,35.64,60.189999
12/11/2018,36.27,59.93
13/11/2018,37.18,55.689999
14/11/2018,37.5,56.25
15/11/2018,37.22,56.459999
16/11/2018,36.17,56.459999
19/11/2018,35.25,56.759998
20/11/2018,35.02,53.43
21/11/2018,35.73,54.630001
26/11/2018,37.49,51.630001
27/11/2018,37.68,51.560001
28/11/2018,38.32,50.290001
29/11/2018,37.81,51.450001
30/11/2018,39.52,50.93
3/12/2018,39.02,52.950001
4/12/2018,36.11,53.25
6/12/2018,36.35,51.490002
7/12/2018,33.04,52.610001
10/12/2018,33.3,51
11/12/2018,33.56,51.650002
12/12/2018,33.8,51.150002
13/12/2018,31.94,52.580002
14/12/2018,31.89,51.200001
17/12/2018,31.53,49.880001
18/12/2018,33.01,46.240002
19/12/2018,31.9,47.200001
20/12/2018,31.38,45.880001
21/12/2018,30.29,45.59
26/12/2018,31.78,46.220001
27/12/2018,31.53,44.610001
28/12/2018,31.32,45.330002
31/12/2018,31.6,45.41
2/1/2019,31.96,46.540001
3/1/2019,29.58,47.09
4/1/2019,31.53,47.959999
7/1/2019,32.43,48.52
8/1/2019,31.9,49.779999
9/1/2019,32.89,52.360001
10/1/2019,31.53,52.59
11/1/2019,31.29,51.59
14/1/2019,31.21,50.509998
15/1/2019,31.59,52.110001
16/1/2019,32.32,52.310001
17/1/2019,33.05,52.07
18/1/2019,33.43,53.799999
22/1/2019,32.22,52.57
23/1/2019,31.15,52.619999
24/1/2019,33.12,53.130001
25/1/2019,34.42,53.689999
28/1/2019,35.99,51.990002
29/1/2019,35.71,53.310001
30/1/2019,35.76,54.23
31/1/2019,35.2,53.790001
1/2/2019,35.54,55.259998
4/2/2019,36.19,54.560001
5/2/2019,36.44,53.66
6/2/2019,36.27,54.009998
7/2/2019,35.69,52.639999
8/2/2019,35.52,52.720001
11/2/2019,36.11,52.41
12/2/2019,35.28,53.099998
13/2/2019,35.73,53.900002
14/2/2019,35.63,54.41
15/2/2019,34.59,55.59
19/2/2019,35,56.09
20/2/2019,34.6,56.919998
21/2/2019,34.52,56.959999
22/2/2019,35.02,57.259998
25/2/2019,35.43,55.48
26/2/2019,35.77,55.5
27/2/2019,35.22,56.939999
28/2/2019,35.16,57.220001
1/3/2019,34.18,55.799999
4/3/2019,33.27,56.59
5/3/2019,32.79,56.560001
6/3/2019,32.33,56.220001
7/3/2019,31.79,56.66
8/3/2019,31.49,56.07
11/3/2019,31.63,56.790001
12/3/2019,30.51,56.869999
13/3/2019,31.42,58.259998
14/3/2019,31.7,58.610001
15/3/2019,31.01,58.52
18/3/2019,30.96,59.09
19/3/2019,31.17,59.029999
20/3/2019,30.55,59.830002
21/3/2019,31.03,59.98
22/3/2019,30.17,59.040001
25/3/2019,29.81,58.82
26/3/2019,29.81,59.939999
27/3/2019,30.53,59.41
28/3/2019,30.49,59.299999
29/3/2019,31.34,60.139999
1/4/2019,31.92,61.59
2/4/2019,32.55,62.580002
3/4/2019,33.26,62.459999
4/4/2019,33.48,62.099998
5/4/2019,33.61,63.080002
8/4/2019,33.43,64.400002
9/4/2019,32.87,63.98
10/4/2019,33.57,64.610001
11/4/2019,34.35,63.580002
12/4/2019,34.23,63.889999
15/4/2019,33.3,63.400002
16/4/2019,33.58,64.050003
17/4/2019,33.93,63.759998
18/4/2019,33.92,64
22/4/2019,33.04,65.699997
23/4/2019,33.52,66.300003
24/4/2019,33.54,65.889999
25/4/2019,32.97,65.209999
26/4/2019,32.62,63.299999
29/4/2019,33.32,63.5
30/4/2019,33.73,63.91
1/5/2019,33.46,63.599998
2/5/2019,33.5,61.810001
3/5/2019,34.33,61.939999
6/5/2019,34.29,62.25
7/5/2019,33.56,61.400002
8/5/2019,33.4,62.119999
9/5/2019,33.6,61.700001
10/5/2019,33.64,61.66
13/5/2019,31.81,61.040001
14/5/2019,32,61.779999
15/5/2019,31.83,62.02
16/5/2019,31.98,62.869999
17/5/2019,31.41,62.759998
20/5/2019,30.64,63.099998
21/5/2019,30.98,62.990002
22/5/2019,29.61,61.419998
23/5/2019,29.19,57.91
24/5/2019,28.87,58.630001
28/5/2019,28.43,59.139999
29/5/2019,28.12,58.810001
30/5/2019,27.88,56.59
31/5/2019,26.95,53.5
3/6/2019,26.92,53.25
4/6/2019,28.82,53.48
5/6/2019,30.04,51.68
6/6/2019,30.06,52.59
7/6/2019,30.6,53.990002
10/6/2019,30.44,53.259998
11/6/2019,30.26,53.27
12/6/2019,30.78,51.139999
13/6/2019,32.75,52.279999
14/6/2019,32.34,52.509998
17/6/2019,32.22,51.93
18/6/2019,32.18,53.900002
19/6/2019,32.87,53.759998
20/6/2019,31.82,56.650002
21/6/2019,31.24,57.43
24/6/2019,31.49,57.900002
25/6/2019,30.94,57.830002
26/6/2019,31.13,59.380001
27/6/2019,31.82,59.43
28/6/2019,32.27,58.470001
1/7/2019,32.54,59.09
2/7/2019,31.86,56.25
5/7/2019,32.12,57.509998
8/7/2019,32.45,57.66
9/7/2019,32.02,57.830002
10/7/2019,32.6,60.43
11/7/2019,32.69,60.200001
12/7/2019,33.43,60.209999
15/7/2019,33.26,59.580002
16/7/2019,33.86,57.619999
17/7/2019,32.91,56.779999
18/7/2019,33.39,55.299999
19/7/2019,32.74,55.630001
22/7/2019,32.56,56.220001
23/7/2019,33.38,56.77
24/7/2019,34.23,55.880001
25/7/2019,31.34,56.02
26/7/2019,30.92,56.200001
29/7/2019,30.42,56.869999
30/7/2019,30.39,58.049999
31/7/2019,30.19,58.580002
1/8/2019,29.53,53.950001
2/8/2019,29.14,55.66
5/8/2019,28.23,54.689999
6/8/2019,28.16,53.630001
7/8/2019,28.43,51.09
8/8/2019,28.88,52.540001
9/8/2019,28.58,54.5
12/8/2019,27.45,54.93
13/8/2019,27.32,57.099998
14/8/2019,25.92,55.23
15/8/2019,25.23,54.470001
16/8/2019,25.61,54.869999
19/8/2019,25.92,56.209999
20/8/2019,25.65,56.34
21/8/2019,26.24,55.68
22/8/2019,26.35,55.349998
23/8/2019,25.24,54.169998
26/8/2019,25.02,53.639999
27/8/2019,24.28,54.93
28/8/2019,25.16,55.779999
29/8/2019,26.14,56.709999
30/8/2019,26.13,55.099998
3/9/2019,26.33,53.939999
4/9/2019,26.81,56.259998
5/9/2019,27.5,56.299999
6/9/2019,27.6,56.52
9/9/2019,28.24,57.849998
10/9/2019,28.92,57.400002
11/9/2019,29.55,55.75
12/9/2019,29.73,55.09
13/9/2019,29.74,54.849998
16/9/2019,27.58,62.900002
17/9/2019,28.44,59.34
18/9/2019,28.4,58.110001
19/9/2019,28.1,58.130001
20/9/2019,27.8,58.09
23/9/2019,27.31,58.639999
24/9/2019,26.81,57.290001
25/9/2019,27.25,56.490002
26/9/2019,27,56.41
27/9/2019,26.82,55.91
30/9/2019,26.78,54.07
1/10/2019,26.62,53.619999
2/10/2019,25.19,52.639999
3/10/2019,25.1,52.450001
4/10/2019,25.65,52.810001
7/10/2019,25.65,52.75
8/10/2019,26.08,52.630001
9/10/2019,26.88,52.59
10/10/2019,26.99,53.549999
11/10/2019,27.17,54.700001
14/10/2019,27.43,53.59
15/10/2019,28.07,52.810001
16/10/2019,27.86,53.360001
17/10/2019,27.74,53.93
18/10/2019,28.03,53.779999
21/10/2019,28.42,53.310001
22/10/2019,28.06,54.16
23/10/2019,28.09,55.970001
24/10/2019,29.21,56.23
25/10/2019,30.65,56.66
28/10/2019,31.14,55.810001
29/10/2019,30.71,55.540001
30/10/2019,30.08,55.060001
31/10/2019,29.85,54.18
1/11/2019,30.35,56.200001
4/11/2019,30.74,56.540001
5/11/2019,31.07,57.23
6/11/2019,30.85,56.349998
7/11/2019,30.78,57.150002
8/11/2019,30.65,57.240002
11/11/2019,30.48,56.860001
12/11/2019,29.41,56.799999
13/11/2019,28.55,57.119999
14/11/2019,28.66,56.77
15/11/2019,28.75,57.720001
18/11/2019,28.49,57.049999
19/11/2019,29.18,55.209999
20/11/2019,28.13,57.110001
21/11/2019,27.83,58.580002
22/11/2019,28.57,57.77
25/11/2019,28.88,58.009998
26/11/2019,28.94,58.41
27/11/2019,28.84,58.110001
2/12/2019,27.98,55.959999
3/12/2019,27.19,56.099998
4/12/2019,27.28,58.43
5/12/2019,27.14,58.43
6/12/2019,27.63,59.200001
9/12/2019,27.39,59.02
10/12/2019,26.9,59.240002
11/12/2019,26.76,58.759998
12/12/2019,27.62,59.18
13/12/2019,27.38,60.07
16/12/2019,27.82,60.209999
17/12/2019,28.18,60.939999
18/12/2019,27.9,60.93
19/12/2019,28.44,61.220001
20/12/2019,28.93,60.439999
23/12/2019,29.19,60.52
26/12/2019,29.56,61.68
27/12/2019,28.34,61.720001
30/12/2019,28.2,61.68
31/12/2019,28.57,61.060001
2/1/2020,28.98,61.18
3/1/2020,27.55,63.049999
6/1/2020,27.22,63.27
7/1/2020,27.12,62.700001
8/1/2020,27.74,59.610001
9/1/2020,27.85,59.560001
10/1/2020,27.22,59.040001
13/1/2020,27.29,58.080002
14/1/2020,27.43,58.23
15/1/2020,27.48,57.810001
16/1/2020,28.13,58.52
17/1/2020,28.3,58.540001
21/1/2020,27.1,58.34
22/1/2020,27.22,56.740002
23/1/2020,28.69,55.59
24/1/2020,27.54,54.189999
27/1/2020,26.01,53.139999
28/1/2020,26.8,53.48
29/1/2020,26.7,53.330002
30/1/2020,27.62,52.139999
31/1/2020,26.74,51.560001
3/2/2020,27.06,50.110001
4/2/2020,28.43,49.610001
5/2/2020,29.1,50.75
6/2/2020,28.3,50.950001
7/2/2020,28.38,50.32
10/2/2020,28.79,49.57
11/2/2020,29.84,49.939999
12/2/2020,30.47,51.169998
13/2/2020,30.09,51.419998
14/2/2020,29.2,52.049999
18/2/2020,28.63,52.049999
19/2/2020,28.33,53.290001
20/2/2020,28.51,53.779999
21/2/2020,27.82,53.380001
24/2/2020,25.45,51.43
25/2/2020,23.12,49.900002
26/2/2020,22.31,48.73
27/2/2020,20.6,46.810001
28/2/2020,19.05,47.09
2/3/2020,18.86,44.759998
3/3/2020,17.85,46.75
4/3/2020,18.53,47.18
5/3/2020,16.04,46.779999
6/3/2020,15.97,45.900002
9/3/2020,14.75,41.279999
10/3/2020,17,31.129999
11/3/2020,16.26,34.360001
12/3/2020,13.45,32.98
13/3/2020,14.31,32.93
16/3/2020,15.92,31.73
17/3/2020,15.58,28.700001
18/3/2020,11.65,27.33
19/3/2020,10.29,20.83
20/3/2020,10.38,25.91
23/3/2020,10.25,24.450001
24/3/2020,13.92,24.549999
25/3/2020,15.39,24.309999
26/3/2020,15.66,23.049999
27/3/2020,14.04,21.84
30/3/2020,12.25,20.48
31/3/2020,12.19,20.280001
1/4/2020,10.69,21.190001
2/4/2020,10.06,24.77
3/4/2020,9.39,29
6/4/2020,9.5,26.83
7/4/2020,10.22,26.08
8/4/2020,11.33,26.41
9/4/2020,12.51,23.190001
13/4/2020,11.56,22.92
14/4/2020,11.95,20.860001
15/4/2020,12.29,20.290001
16/4/2020,11.07,19.9
