     Date     Volume 
 19000101     C      
 19000102     400697 
 19000103     510590 
 19000104     377340 
 19000105     290164 
 19000106     146959 
 19000108     319132 
 19000109     242019 
 19000110     275813 
 19000111     258271 
 19000112     272770 
 19000113     147357 
 19000115     178751 
 19000116     112627 
 19000117     154200 
 19000118     145415 
 19000119     224588 
 19000120     117138 
 19000122     155428 
 19000123     175590 
 19000124     111735 
 19000125     162665 
 19000126     122664 
 19000127      60257 
 19000129     152906 
 19000130     320238 
 19000131     421918 
 19000201     316140 
 19000202     475480 
 19000203     225784 
 19000205     510567 
 19000206     592301 
 19000207     563249 
 19000208     379956 
 19000209     272724 
 19000210     115985 
 19000212     C      
 19000213     247364 
 19000214     293030 
 19000215     299352 
 19000216     199911 
 19000217     124171 
 19000219     264413 
 19000220     280976 
 19000221     344985 
 19000222     C      
 19000223     317996 
 19000224     173609 
 19000226     248465 
 19000227     416529 
 19000228     360283 
 19000301     367180 
 19000302     329895 
 19000303     164461 
 19000305     261413 
 19000306     268958 
 19000307     190739 
 19000308     167375 
 19000309     183116 
 19000310     114518 
 19000312     340592 
 19000313     291350 
 19000314     256570 
 19000315     275287 
 19000316     138828 
 19000317     111925 
 19000319     321830 
 19000320     444195 
 19000321     547773 
 19000322     768382 
 19000323     495751 
 19000324     350729 
 19000326     861043 
 19000327     689434 
 19000328     769970 
 19000329     721940 
 19000330     403048 
 19000331     273404 
 19000402     629947 
 19000403     608808 
 19000404     570979 
 19000405     507303 
 19000406     477796 
 19000407     281194 
 19000409     456623 
 19000410     522153 
 19000411     502103 
 19000412     551679 
 19000413     C      
 19000414     C      
 19000416     778034 
 19000417     737914 
 19000418     435072 
 19000419     434043 
 19000420     366323 
 19000421     359937 
 19000423     534658 
 19000424     436373 
 19000425     306337 
 19000426     306092 
 19000427     328774 
 19000428     138223 
 19000430     294462 
 19000501     193399 
 19000502     285606 
 19000503     212903 
 19000504     161014 
 19000505      81118 
 19000507     185521 
 19000508     486644 
 19000509     507905 
 19000510     348135 
 19000511     444309 
 19000512     247531 
 19000514     339684 
 19000515     358168 
 19000516     340870 
 19000517     337111 
 19000518     314655 
 19000519     156711 
 19000521     236130 
 19000522     180591 
 19000523     165459 
 19000524     279910 
 19000525     191511 
 19000526      54099 
 19000528     153953 
 19000529     143875 
 19000530     C      
 19000531     206477 
 19000601     430919 
 19000602     130306 
 19000604     185075 
 19000605     184693 
 19000606     144198 
 19000607     182164 
 19000608     252650 
 19000609     151735 
 19000611     222420 
 19000612     166243 
 19000613     172024 
 19000614     115523 
 19000615     106804 
 19000616     218079 
 19000618     421929 
 19000619     247937 
