  DATE           Volume
  19400102       579010 
  19400103      1020690 
  19400104       855150 
  19400105       758090 
  19400106       341820 
  19400108       631960 
  19400109       671350 
  19400110       601250 
  19400111       844820 
  19400112      1109440 
  19400113       424130 
  19400115       861300 
  19400116       526380 
  19400117       474070 
  19400118       605420 
  19400119       638720 
  19400120       271170 
  19400122       438050 
  19400123       513440 
  19400124       711980 
  19400125       543550 
  19400126       603785 
  19400127       317280 
  19400129       489640 
  19400130       547960 
  19400131       610210 
  19400201       460535 
  19400202       514530 
  19400203       291240 
  19400205       413045 
  19400206       543070 
  19400207       491280 
  19400208       867820 
  19400209      1099340 
  19400210       319800 
  19400213       582180 
  19400214       650860 
  19400215       753715 
  19400216       684120 
  19400217       402090 
  19400219       633410 
  19400220       807760 
  19400221       783250 
  19400223       653760 
  19400224       377730 
  19400226       439840 
  19400227       511030 
  19400228       567710 
  19400229       622640 
  19400301       601250 
  19400302       274710 
  19400304       457670 
  19400305       572535 
  19400306       855030 
  19400307       691446 
  19400308       745050 
  19400309       331080 
  19400311       587680 
  19400312       884240 
  19400313       626090 
  19400314       662080 
  19400315       882130 
  19400316       478970 
  19400318       512520 
  19400319       654119 
  19400320       644530 
  19400321       579010 
  19400323       392470 
  19400325       594990 
  19400326       622600 
  19400327      1191870 
  19400328      1019888 
  19400329       836530 
  19400330       571880 
  19400401       749630 
  19400402       834930 
  19400403      1725340 
  19400404      1994360 
  19400405      1256290 
  19400406       710470 
  19400408      1260360 
  19400409      2135760 
  19400410      1287290 
  19400411       889490 
  19400412       826270 
  19400413       495370 
  19400415      1259540 
  19400416      1505760 
  19400417       902110 
  19400418      1205350 
  19400419      1154990 
  19400420       720660 
  19400422       868990 
  19400423       880670 
  19400424       852930 
  19400425       815420 
  19400426       854240 
  19400427       349040 
  19400429       568150 
  19400430       592280 
  19400501       810050 
  19400502       645420 
  19400503      1069590 
  19400504       316880 
  19400506       526290 
  19400507       580740 
  19400508       693500 
  19400509       847530 
  19400510      2086040 
  19400511       671970 
  19400513      2558990 
  19400514      3680520 
  19400515      3768310 
  19400516      2354380 
  19400517      3074940 
  19400518      1663270 
  19400520      1237280 
  19400521      3939610 
  19400522      2132630 
  19400523      1642450 
  19400524       871460 
  19400525       554330 
  19400527       791260 
  19400528      1263530 
  19400529       656982 
  19400531       526760 
  19400601       273445 
  19400603       445705 
  19400604       409800 
  19400605       668740 
  19400606       426915 
  19400607       469410 
  19400608       199270 
  19400610       971540 
  19400611       763890 
  19400612      1359890 
  19400613       876980 
  19400614       948410 
  19400615       559170 
  19400617      1207930 
  19400618       718810 
  19400619       563950 
  19400620       586200 
  19400621       333220 
  19400622       204340 
  19400624       471990 
  19400625       695870 
  19400626       634900 
  19400627       441020 
  19400628      1173100 
  19400629       170130 
  19400701       272920 
  19400702       320020 
  19400703       377170 
  19400705       283130 
  19400706       131870 
  19400708       232890 
  19400709       303530 
  19400710       282140 
  19400711       328330 
  19400712       255990 
  19400713       124030 
  19400715       226580 
  19400716       436940 
  19400717       382120 
  19400718       221640 
  19400719       255120 
  19400720      1112220 
  19400722       226820 
  19400723       251460 
  19400724       195300 
  19400725       244800 
  19400726       272010 
  19400727        83320 
  19400729       255990 
  19400730       673620 
  19400731       555360 
  19400801       327090 
  19400802       296840 
  19400803       121960 
  19400805       283950 
  19400806       289890 
  19400807       239790 
  19400808       206490 
  19400809       308390 
  19400810       180260 
  19400812       288340 
  19400813       641250 
  19400814       271870 
  19400815       223880 
  19400816       312300 
  19400817       106700 
  19400819       129650 
  19400820       242600 
  19400821       360310 
  19400822       441180 
  19400823       294460 
  19400824        88380 
  19400826       161440 
  19400827       224090 
  19400828       381580 
  19400829       264760 
  19400830       563510 
  19400831       363890 
  19400903       544550 
  19400904       782140 
  19400905      1247420 
  19400906       712520 
  19400907       224010 
  19400909       591920 
  19400910       363820 
  19400911       453090 
  19400912       399430 
  19400913       268180 
  19400914       166390 
  19400916       292610 
  19400917       399080 
  19400918       479290 
  19400919       469970 
  19400920       380650 
  19400921       258880 
  19400923       983250 
  19400924       710510 
  19400925       603460 
  19400926       440370 
  19400927       561420 
  19400928       204080 
  19400930       403170 
  19401001       808100 
  19401002       769700 
  19401003       784385 
  19401004       466080 
  19401005       195750 
  19401007       392390 
  19401008       501655 
  19401009       445660 
  19401010       383670 
  19401011       404250 
  19401014       404350 
  19401015       547400 
  19401016       663160 
  19401017       648600 
  19401018       590180 
  19401019       216440 
  19401021       373020 
  19401022       535630 
  19401023       807030 
  19401024       539870 
  19401025       518660 
  19401026       418070 
  19401028       470840 
  19401029       586065 
  19401030       674070 
  19401031      1344060 
  19401101      1258905 
  19401102       466860 
  19401104      1243280 
  19401106      1209320 
  19401107      2078770 
  19401108      1750930 
  19401109      1099290 
  19401112      1446971 
  19401113      1068250 
  19401114      1384290 
  19401115      1050050 
  19401116       488640 
  19401118       574050 
  19401119       702880 
  19401120       813750 
  19401122       714130 
  19401123       241060 
  19401125       521260 
  19401126       592670 
  19401127       846200 
  19401128       472440 
  19401129       527735 
  19401130       335580 
  19401202       478580 
  19401203       451400 
  19401204       651170 
  19401205       597600 
  19401206       535640 
  19401207       403877 
  19401209       632335 
  19401210       609995 
  19401211       810160 
  19401212       781510 
  19401213       961450 
  19401214       390360 
  19401216       660070 
  19401217       701910 
  19401218       781320 
  19401219       792030 
  19401220       832230 
  19401221       420992 
  19401223       817660 
  19401224       832950 
  19401226       838362 
  19401227      1272610 
  19401228       892100 
  19401230      1178177 
  19401231      1072670 
  19410102       527470 
  19410103       505940 
  19410104       384970 
  19410106       721300 
  19410107       525640 
  19410108       644260 
  19410109       859860 
  19410110       751770 
  19410111       361440 
  19410113       474670 
  19410114       469390 
  19410115       402960 
  19410116       610360 
  19410117       575880 
  19410118       249180 
  19410120       378860 
  19410121       578190 
  19410122       522690 
  19410123       466180 
  19410124       413070 
  19410125       219400 
  19410127       358220 
  19410128       469930 
  19410129       600090 
  19410130       775770 
  19410131       465470 
  19410201       308060 
  19410203       489265 
  19410204       352000 
  19410205       493060 
  19410206       424130 
  19410207       342100 
  19410208       175470 
  19410210       294910 
  19410211       415720 
  19410213       644040 
  19410214       925440 
  19410215       404030 
  19410217       357120 
  19410218       320270 
  19410219       465730 
  19410220       452030 
  19410221       298590 
  19410224       347730 
  19410225       356330 
  19410226       383570 
  19410227       313610 
  19410228       405990 
  19410301       141190 
  19410303       333480 
  19410304       308290 
  19410305       288270 
  19410306       481110 
  19410307       351200 
  19410308       153290 
  19410310       620710 
  19410311       509140 
  19410312       462300 
  19410313       340350 
  19410314       321214 
  19410315       265260 
  19410317       380050 
  19410318       406750 
  19410319       540440 
  19410320       490440 
  19410321       471660 
  19410322       269310 
  19410324       369520 
  19410325       447830 
  19410326       533820 
  19410327       550690 
  19410328       443010 
  19410329       209090 
  19410331       435610 
  19410401       433730 
  19410402       446210 
  19410403       942660 
  19410404       703320 
  19410405       225170 
  19410407       361370 
