MBS DATA,,,,,,,,,,
Trade date,Contractual settlement date,Trade amount,Agency,Coupon,Term,CUSIP,Transaction category,Price,Primary dealer,Investment manager
Jan 5 2009,Mar 12 2009,100.0,FHLMC,4.0,30 YR,02R04063,Purchase,99.03,Barclays Capital Inc.,Wellington Management Company
Jan 5 2009,Mar 12 2009,100.0,FHLMC,4.0,30 YR,02R04063,Purchase,99.28,Barclays Capital Inc.,Wellington Management Company
Jan 5 2009,Mar 12 2009,250.0,FHLMC,4.5,30 YR,02R04263,Purchase,100.56,Barclays Capital Inc.,Wellington Management Company
Jan 5 2009,Mar 17 2009,50.0,FNMA,4.5,15 YR,01F04243,Purchase,101.76,"Merrill Lynch, Pierce, Fenner & Smith Incorporated",Wellington Management Company
Jan 5 2009,Mar 12 2009,100.0,FHLMC,4.0,30 YR,02R04063,Purchase,99.25,"Merrill Lynch, Pierce, Fenner & Smith Incorporated",Wellington Management Company
Jan 5 2009,Feb 12 2009,100.0,FNMA,4.5,30 YR,01F04262,Purchase,101.14,BNP Paribas Securities Corp.,Wellington Management Company
Jan 5 2009,Mar 18 2009,100.0,GNMA,4.5,30 YR,01N04263,Purchase,100.63,Citigroup Global Markets Inc.,Wellington Management Company
Jan 5 2009,Mar 12 2009,250.0,FHLMC,4.5,30 YR,02R04263,Purchase,100.39,Citigroup Global Markets Inc.,Wellington Management Company
Jan 5 2009,Mar 12 2009,500.0,FHLMC,4.5,30 YR,02R04263,Purchase,100.49,Citigroup Global Markets Inc.,Wellington Management Company
Jan 5 2009,Mar 17 2009,25.0,FHLMC,4.0,15 YR,02R04043,Purchase,100.46,Credit Suisse Securities (USA) LLC,Wellington Management Company
Jan 5 2009,Mar 12 2009,50.0,FHLMC,4.0,30 YR,02R04063,Purchase,98.73,Credit Suisse Securities (USA) LLC,Wellington Management Company
Jan 5 2009,Feb 12 2009,50.0,FHLMC,5.0,30 YR,02R05062,Purchase,101.59,Credit Suisse Securities (USA) LLC,Wellington Management Company
Jan 5 2009,Mar 17 2009,25.0,FNMA,5.0,15 YR,01F05043,Purchase,102.33,Deutsche Bank Securities Inc.,Wellington Management Company
Jan 5 2009,Mar 12 2009,100.0,FHLMC,4.5,30 YR,02R04263,Purchase,100.55,Deutsche Bank Securities Inc.,Wellington Management Company
Jan 5 2009,Feb 12 2009,250.0,FHLMC,5.0,30 YR,02R05062,Purchase,102.07,Deutsche Bank Securities Inc.,Wellington Management Company
Jan 5 2009,Feb 12 2009,50.0,FNMA,6.0,30 YR,01F06062,Purchase,102.90,"Goldman, Sachs & Co.",Wellington Management Company
Jan 5 2009,Feb 12 2009,50.0,FNMA,6.5,30 YR,01F06262,Purchase,103.78,J.P. Morgan Securities LLC,Wellington Management Company
Jan 5 2009,Mar 12 2009,200.0,FHLMC,4.5,30 YR,02R04263,Purchase,99.90,J.P. Morgan Securities LLC,Wellington Management Company
Jan 5 2009,Mar 12 2009,250.0,FHLMC,4.5,30 YR,02R04263,Purchase,100.41,J.P. Morgan Securities LLC,Wellington Management Company
Jan 5 2009,Mar 12 2009,100.0,FHLMC,5.5,30 YR,02R05263,Purchase,102.11,"Merrill Lynch, Pierce, Fenner & Smith Incorporated",Wellington Management Company
Jan 5 2009,Mar 12 2009,250.0,FHLMC,5.0,30 YR,02R05063,Purchase,101.61,Morgan Stanley & Co. Incorporated,Wellington Management Company
Jan 5 2009,Feb 12 2009,100.0,FHLMC,5.0,30 YR,02R05062,Purchase,101.92,RBS Securities Inc.,Wellington Management Company
Jan 6 2009,Mar 12 2009,200.0,FNMA,4.0,30 YR,01F04063,Purchase,100.34,Barclays Capital Inc.,Goldman Sachs Asset Management
Jan 6 2009,Mar 12 2009,100.0,FHLMC,4.5,30 YR,02R04263,Purchase,101.88,Barclays Capital Inc.,Goldman Sachs Asset Management
Jan 6 2009,Feb 12 2009,250.0,FHLMC,5.0,30 YR,02R05062,Purchase,102.36,Barclays Capital Inc.,Goldman Sachs Asset Management
Jan 6 2009,Mar 18 2009,100.0,GNMA,4.5,30 YR,01N04263,Purchase,102.05,"Merrill Lynch, Pierce, Fenner & Smith Incorporated",Goldman Sachs Asset Management
Jan 6 2009,Mar 18 2009,100.0,GNMA,4.5,30 YR,01N04263,Purchase,102.14,"Merrill Lynch, Pierce, Fenner & Smith Incorporated",Goldman Sachs Asset Management
Jan 6 2009,Jan 13 2009,100.0,FHLMC,5.5,30 YR,02R05261,Purchase,103.41,"Merrill Lynch, Pierce, Fenner & Smith Incorporated",Goldman Sachs Asset Management
