  DATE     VOLUME   
 18880101     C     
 18880102     C     
 18880103    135494 
 18880104    156799 
 18880105    135776 
 18880106    157609 
 18880107     58868 
 18880109    253549 
 18880110    209401 
 18880111    228413 
 18880112    149294 
 18880113     96252 
 18880114     54496 
 18880116    115756 
 18880117    112820 
 18880118    114249 
 18880119    243083 
 18880120    201723 
 18880121     58952 
 18880123    159156 
 18880124    133205 
 18880125    116106 
 18880126    177905 
 18880127    198394 
 18880128    130194 
 18880130    220302 
 18880131    132659 
 18880201     96975 
 18880202    176459 
 18880203    183593 
 18880204     83860 
 18880206    159737 
 18880207    113278 
 18880208    154088 
 18880209    138361 
 18880210    110737 
 18880211     28515 
 18880213    113517 
 18880214     47973 
 18880215     78957 
 18880216    161448 
 18880217    265262 
 18880218    136501 
 18880220    112894 
 18880221    124017 
 18880222     C     
 18880223    115763 
 18880224    143515 
 18880225     64486 
 18880227    180043 
 18880228    100015 
 18880229    170608 
 18880301    175000 
 18880302    170704 
 18880303     98887 
 18880305    361047 
 18880306    182123 
 18880307    301795 
 18880308    248965 
 18880309    211894 
 18880310     71479 
 18880312     15695 
 18880313      2075 
 18880314    107100 
 18880315    121859 
 18880316    179834 
 18880317    118614 
 18880319    176269 
 18880320    149521 
 18880321    291895 
 18880322    397585 
 18880323    246369 
 18880324    143803 
 18880326    297978 
 18880327    284384 
 18880328    346715 
 18880329    286688 
 18880330     C     
 18880331    198056 
 18880402    381196 
 18880403    335467 
 18880404    450652 
 18880405    320030 
 18880406    429734 
 18880407    149888 
 18880409    259626 
 18880410    201960 
 18880411    208221 
 18880412    209826 
 18880413    234922 
 18880414     96731 
 18880416    211270 
 18880417    294690 
 18880418    233176 
 18880419    313847 
 18880420    288936 
 18880421    157286 
 18880423    361905 
 18880424    395955 
 18880425    440622 
 18880426    422159 
 18880427    438460 
 18880428    181291 
 18880430    400948 
 18880501    313877 
 18880502    403756 
 18880503    401001 
 18880504    253292 
 18880505    188334 
 18880507    300129 
 18880508    285488 
 18880509    389519 
 18880510    238372 
 18880511    293002 
 18880512     86737 
 18880514    170190 
 18880515    175900 
 18880516    166242 
 18880517    173679 
 18880518    279459 
 18880519    117922 
 18880521    207554 
 18880522    136600 
 18880523    168792 
 18880524    270390 
 18880525    343124 
 18880526    169701 
 18880528    263131 
 18880529    183725 
 18880530     C     
 18880531    135486 
 18880601    149891 
