       Date      Stock 
                Volume 
   19300102    2932720 
   19300103    2073350 
   19300104    1314890 
   19300106    2171740 
   19300107    2029290 
   19300108    1638830 
   19300109    2397330 
   19300110    2386190 
   19300111     873750 
   19300113    1452580 
   19300114    1883440 
   19300115    2630060 
   19300116    3043620 
   19300117    2679470 
   19300118    1330800 
   19300120    1692640 
   19300121    2233230 
   19300122    2305930 
   19300123    3229290 
   19300124    3480830 
   19300125    1526480 
   19300127    3458020 
   19300128    2912930 
   19300129    3245550 
   19300130    3645910 
   19300131    3739500 
   19300201    1925440 
   19300203    3798430 
   19300204    3224610 
   19300205    4362470 
   19300206    3708970 
   19300207    3391270 
   19300208    1657500 
   19300210    3165670 
   19300211    3321710 
   19300213    3668730 
   19300214    3513850 
   19300215    1696920 
   19300217    3289170 
   19300218    3795310 
   19300219    3484810 
   19300220    3661070 
   19300221    2566570 
   19300224    2320430 
   19300225    2632910 
   19300226    3017750 
   19300227    3310110 
   19300228    3209510 
   19300301    1806700 
   19300303    3634260 
   19300304    3455676 
   19300305    3715090 
   19300306    3349640 
   19300307    3634764 
   19300308    1690840 
   19300310    3993740 
   19300311    2635500 
   19300312    4470080 
   19300313    3853580 
   19300314    3950930 
   19300315    1530730 
   19300317    3639640 
   19300318    4247950 
   19300319    4336260 
   19300320    4262830 
   19300321    4629290 
   19300322    2314900 
   19300324    4126140 
   19300325    4526050 
   19300326    5029340 
   19300327    4707030 
   19300328    5065240 
   19300329    2791170 
   19300331    5161320 
   19300401    5395170 
   19300402    5312660 
   19300403    4633610 
   19300404    5931610 
   19300405    2524480 
   19300407    5490260 
   19300408    4689410 
   19300409    5189210 
   19300410    5681370 
   19300411    5626630 
   19300412    2119160 
   19300414    4149530 
   19300415    4218550 
   19300416    4397660 
   19300417    3942560 
   19300421    4491600 
   19300422    4589090 
   19300423    5568610 
   19300424    5232640 
   19300425    4725940 
   19300426    2315690 
   19300428    4852190 
   19300429    5410010 
   19300430    4553360 
   19300501    4640350 
   19300502    5986330 
   19300503    4867530 
   19300505    8279260 
   19300506    4755830 
   19300507    4295470 
   19300508    3755990 
   19300509    3009830 
   19300510    1880450 
   19300512    3026890 
   19300513    2697290 
   19300514    3179950 
   19300515    2675470 
   19300516    2086800 
   19300517     790950 
   19300519    2413930 
   19300520    3526770 
   19300521    2078400 
   19300522    1860220 
   19300523    2157520 
   19300524     960570 
   19300526    2246580 
   19300527    2258240 
   19300528    2405350 
   19300529    2204060 
   19300602    1710880 
   19300603    1750450 
   19300604    1694020 
   19300605    2392850 
   19300606    2154860 
   19300607    2246270 
   19300609    4646270 
   19300610    4773480 
   19300611    4477390 
   19300612    3901250 
   19300613    2221900 
   19300614    1255710 
   19300616    5657320 
   19300617    5018600 
   19300618    6425630 
   19300619    3762500 
   19300620    3656470 
   19300621    1966610 
   19300623    3836440 
   19300624    2865950 
   19300625    3395520 
   19300626    2272080 
   19300627    2081160 
   19300628     586590 
   19300630    1843050 
   19300701    2278850 
   19300702    1231130 
   19300703    1384250 
   19300707    1480640 
   19300708    1554710 
   19300709    1358020 
   19300710    2167050 
   19300711    1525570 
   19300712     906190 
   19300714    2737700 
   19300715    3091680 
   19300716    2585140 
   19300717    2497870 
   19300718    2750550 
   19300719     871570 
   19300721    1947070 
   19300722    2080740 
   19300723    2526850 
   19300724    1475240 
   19300725    1356170 
   19300726     994230 
   19300728    2425240 
   19300729    1849580 
   19300730    2507280 
   19300731    2162770 
   19300801    1090210 
   19300802     366090 
   19300804    1201810 
   19300805    1221490 
   19300806    1317370 
   19300807    1450890 
   19300808    3312520 
   19300809    1508440 
   19300811    1744700 
   19300812    2085440 
   19300813    2289210 
   19300814    1525480 
   19300815    2105840 
   19300816     974970 
   19300818    1413610 
   19300819    1861790 
   19300820    1817580 
   19300821    1712810 
   19300822    1335680 
   19300823     690170 
   19300825    1600230 
   19300826    1746950 
   19300827    2200190 
   19300828    1437210 
   19300829    1858820 
   19300902    1773920 
   19300903    1744520 
   19300904    1519440 
   19300905    1652140 
   19300906    1409270 
   19300908    2241450 
   19300909    1941910 
   19300910    2481420 
   19300911    1738640 
   19300912    1905860 
   19300913    1021750 
   19300915    1562960 
   19300916    1767910 
   19300917    1188580 
   19300918    1376990 
   19300919    2947780 
   19300920     832420 
   19300922    2332655 
   19300923    1922840 
   19300924    3442230 
   19300925    3067710 
   19300926    3704590 
   19300927    1709090 
   19300929    3762290 
   19300930    4496780 
   19301001    3155305 
   19301002    2315770 
   19301003    2053280 
   19301004     900370 
   19301006    2365060 
   19301007    3568040 
   19301008    2066960 
   19301009    5050600 
   19301010    6296918 
   19301011    1727940 
   19301014    3389030 
   19301015    2378490 
   19301016    1854710 
   19301017    2656160 
   19301018    2161560 
   19301020    2139220 
   19301021    2431900 
   19301022    2742240 
   19301023    2664520 
   19301024    2763000 
   19301025    1152200 
   19301027    1812050 
   19301028    2016200 
   19301029    1673030 
   19301030    1913731 
   19301031    2249195 
   19301101    1001290 
   19301103    1253650 
   19301105    2145720 
   19301106    2446690 
   19301107    3367880 
   19301108    2070760 
   19301110    4626250 
   19301111    3334020 
   19301112    3420290 
   19301113    3451450 
   19301114    2640690 
   19301115    1710340 
   19301117    2137770 
   19301118    2023050 
   19301119    2481410 
   19301120    2626740 
   19301121    2244610 
   19301122     988490 
   19301124    1630820 
   19301125    2152930 
   19301126    1950040 
   19301128    1743790 
   19301129     697160 
   19301201    1107507 
   19301202    1579620 
   19301203    1217460 
   19301204    1591020 
   19301205    1589265 
   19301206     719950 
   19301208    1983840 
   19301209    2116340 
   19301210    3146950 
   19301211    2888910 
   19301212    2089520 
   19301213    1962480 
   19301215    3440170 
   19301216    4156110 
   19301217    5005885 
   19301218    3290370 
   19301219    2270350 
   19301220    1027780 
   19301222    2104325 
   19301223    2543185 
   19301224    1582338 
   19301226    1800660 
   19301227    1394722 
   19301229    2788820 
   19301230    3431115 
   19301231    1935330 
   19310102    2031350 
   19310103    1547790 
   19310105    2087040 
   19310106    1906610 
   19310107    2140190 
   19310108    1706093 
   19310109    2794720 
   19310110     778650 
   19310112    1501220 
   19310113    1712890 
   19310114    1276345 
   19310115    1932990 
   19310116    1321240 
   19310117     642220 
   19310119    1114830 
   19310120    1329260 
   19310121    1407535 
   19310122    1860740 
   19310123    2868150 
   19310124    1126790 
   19310126    1534970 
   19310127    1601720 
   19310128    1623610 
   19310129    1645710 
   19310130    2213987 
   19310131     796732 
   19310202    1160268 
   19310203    1187521 
   19310204    1518121 
   19310205    1488896 
   19310206    1660704 
   19310207    1166930 
   19310209    4126145 
   19310210    4760425 
   19310211    4698960 
   19310213    2747439 
   19310214    1092656 
   19310216    3170040 
   19310217    3986480 
   19310218    2842506 
   19310219    2476970 
   19310220    3833575 
   19310221    2434640 
   19310224    5345710 
   19310225    4388062 
   19310226    4623239 
   19310227    3724674 
   19310228    1747875 
   19310302    3318055 
   19310303    2936470 
   19310304    3087527 
   19310305    2731071 
   19310306    3860745 
   19310307    1566830 
   19310309    2850705 
   19310310    3241210 
   19310311    2294130 
   19310312    2489792 
   19310313    2378475 
   19310314    1109410 
   19310316    2131820 
   19310317    2801024 
   19310318    2096715 
   19310319    3524960 
   19310320    2742090 
   19310321    1313197 
   19310323    1993620 
   19310324    1878158 
   19310325    2096522 
   19310326    2554250 
   19310327    2948380 
   19310328    2119170 
   19310330    3188230 
   19310331    2405531 
   19310401    2264710 
   19310402    2506150 
   19310404     873652 
   19310406    1463785 
   19310407    2192797 
   19310408    2047958 
   19310409    1943410 
   19310410    1566240 
   19310411     615740 
   19310413    1629795 
   19310414    1938110 
   19310415    2046260 
   19310416    2331485 
   19310417    2544872 
   19310418    1292860 
   19310420    1563820 
   19310421    1993439 
   19310422    2670851 
   19310423    3815560 
   19310424    2603370 
   19310425    1418200 
   19310427    3650310 
   19310428    2856900 
   19310429    3181810 
   19310430    3334752 
   19310501    2871920 
   19310502    1266543 
   19310504    1361348 
   19310505    1575240 
   19310506    1498870 
   19310507    1693383 
   19310508    2658450 
   19310509    1157350 
   19310511    1650623 
   19310512    1310490 
   19310513    1666910 
   19310514    1770190 
   19310515    2380040 
   19310516     762830 
   19310518    2536485 
   19310519    2778455 
   19310520    2314725 
   19310521    2352200 
   19310522    1559700 
   19310523     550210 
   19310525    1874600 
   19310526    2413870 
   19310527    2512150 
   19310528    2089718 
   19310529    2053225 
   19310601    3102380 
   19310602    3316848 
   19310603    3305717 
   19310604    3170180 
   19310605    2846070 
   19310606     832670 
   19310608    1707910 
