                        
                  Stock 
       Date      Volume 
   19500103     1258080 
   19500104     1890540 
   19500105     2547930 
   19500106     2012180 
   19500107     1329780 
   19500109     2522730 
   19500110     2155570 
   19500111     2631150 
   19500112     2972890 
   19500113     3332180 
   19500114     1184090 
   19500116     1462950 
   19500117     1787570 
   19500118     1565740 
   19500119     1174240 
   19500120     1438630 
   19500121      550850 
   19500123     1342970 
   19500124     1249670 
   19500125     1701010 
   19500126     1153095 
   19500127     1251240 
   19500128      737080 
   19500130     1635370 
   19500131     1688580 
   19500201     1810460 
   19500202     2039270 
   19500203     2210480 
   19500204      725240 
   19500206     1487330 
   19500207     1357650 
   19500208     1474110 
   19500209     1806630 
   19500210     1787120 
   19500211      826170 
   19500214     2213030 
   19500215     1733440 
   19500216     1916450 
   19500217     1936920 
   19500218     1048940 
   19500220     1419452 
   19500221     1258320 
   19500223     1306190 
   19500224     1710850 
   19500225      620770 
   19500227     1404930 
   19500228     1312500 
   19500301     1412730 
   19500302     1344430 
   19500303     1514870 
   19500304      942440 
   19500306     1470275 
   19500307     1588840 
   19500308     1358740 
   19500309     1332170 
   19500310     1256860 
   19500311      524770 
   19500313     1060930 
   19500314     1135380 
   19500315     1830730 
   19500316     2063160 
   19500317     1597600 
   19500318      607630 
   19500320     1424930 
   19500321     1398790 
   19500322     2005970 
   19500323     2020490 
   19500324     1568180 
   19500325      888140 
   19500327     1933580 
   19500328     1779450 
   19500329     2094080 
   19500330     2373010 
   19500331     1882850 
   19500401      683100 
   19500403     1574070 
   19500404     2012568 
   19500405     1427580 
   19500406     2003220 
   19500408     1092810 
   19500410     2068422 
   19500411     2011390 
   19500412     2012455 
   19500413     2406180 
   19500414     2750020 
   19500415     1434120 
   19500417     2517160 
   19500418     3322000 
   19500419     2944532 
   19500420     2585134 
   19500421     2710736 
   19500422     1256060 
   19500424     2311410 
   19500425     1830688 
   19500426     1877330 
   19500427     2064840 
   19500428     2184730 
   19500429     1164110 
   19500501     2388860 
   19500502     2247470 
   19500503     2122230 
   19500504     2147990 
   19500505     1796370 
   19500506      909720 
   19500508     1683775 
   19500509     1721860 
   19500510     1877150 
   19500511     1751550 
   19500512     1787030 
   19500513      574200 
   19500515     1220170 
   19500516     1733060 
   19500517     2019210 
   19500518     1765630 
   19500519     2110210 
   19500520      903920 
   19500522     1615695 
   19500523     1458620 
   19500524     1848000 
   19500525     1478390 
   19500526     1332860 
   19500527      467030 
   19500529     1110394 
   19500531     1532650 
   19500601     1578260 
   19500602     1453495 
   19500605     1631320 
   19500606     2250170 
   19500607     1747930 
   19500608     1782240 
   19500609     2130510 
   19500612     1791481 
   19500613     1784535 
   19500614     1652260 
   19500615     1525500 
   19500616     1175240 
   19500619     1290770 
   19500620     1472270 
   19500621     1748830 
   19500622     1829550 
   19500623     1704083 
   19500626     3949174 
   19500627     4858970 
   19500628     2597280 
   19500629     3035000 
   19500630     2658230 
   19500703     1544780 
   19500705     1398010 
   19500706     1566060 
   19500707     1865510 
   19500710     1256064 
   19500711     3246270 
   19500712     3196590 
   19500713     2659780 
   19500714     1901850 
   19500717     1523055 
   19500718     1822920 
   19500719     2427248 
   19500720     3163470 
   19500721     2807520 
   19500724     2297540 
   19500725     2769901 
   19500726     2454506 
   19500727     2303670 
   19500728     2050091 
   19500731     1593720 
   19500801     1973360 
   19500802     1982330 
   19500803     1654780 
   19500804     1598960 
   19500807     1850950 
   19500808     2179440 
   19500809     1759010 
   19500810     1866885 
   19500811     1678372 
   19500814     1277400 
   19500816     1772165 
   19500817     2165860 
   19500818     1776780 
   19500821     1841770 
   19500822     1547339 
   19500823     1574270 
   19500824     1624250 
   19500825     1610080 
   19500828     1296820 
   19500829     1485294 
   19500830     1489960 
   19500831     1135680 
   19500901     1289870 
   19500905     1250170 
   19500906     1298870 
   19500907     1344430 
   19500908     1961550 
   19500911     1856610 
   19500912     1675721 
   19500913     2597410 
   19500914     2354350 
   19500915     2405780 
   19500918     2042390 
   19500919     1592855 
   19500920     2101580 
   19500921     1651200 
   19500922     2512668 
   19500925     2014980 
   19500926     2279610 
   19500927     2363340 
   19500928     2201140 
   19500929     1799830 
   19501002     2199210 
   19501003     2478750 
   19501004     2923960 
   19501005     2489360 
   19501006     2360290 
   19501007      974280 
   19501009     2325830 
   19501010     1873590 
   19501011     2202920 
   19501013     2033120 
   19501014      823280 
   19501016     1632450 
   19501017     2010806 
   19501018     2411540 
   19501019     2252410 
   19501020     1842960 
   19501021      732910 
   19501023     1853915 
   19501024     1789140 
   19501025     1928842 
   19501026     2998900 
   19501027     1801170 
   19501028      645590 
   19501030     1790890 
   19501031     2013700 
   19501101     1782540 
   19501102     1576959 
   19501103     1555106 
   19501104      503866 
   19501106     2581320 
   19501108     1844857 
   19501109     1763839 
   19501110     1637203 
   19501113     1631170 
   19501114     1682370 
   19501115     1621230 
   19501116     1762410 
   19501117     2126145 
   19501118     1047290 
   19501120     2252020 
   19501121     2011700 
   19501122     2731010 
   19501124     2620010 
   19501125      793330 
   19501127     1743290 
   19501128     2966824 
   19501129     2768495 
   19501130     2082485 
   19501201     1874490 
   19501202      776560 
   19501204     2510660 
   19501205     1938340 
   19501206     2012520 
   19501207     1813610 
   19501208     2308200 
   19501209     1230080 
   19501211     2596960 
   19501212     2136920 
   19501213     2026830 
   19501214     2655790 
   19501215     2419460 
   19501216     2019600 
   19501218     4499920 
   19501219     3648585 
   19501220     3507450 
   19501221     2993900 
   19501222     2722060 
   19501226     2656735 
   19501227     2936463 
   19501228     3562133 
   19501229     3441970 
   19501230     1530320 
   19508015     1330920 
   19510102     3034725 
   19510103     3366552 
   19510104     3390240 
   19510105     3394950 
   19510106     1164380 
   19510108     2783715 
   19510109     3804730 
   19510110     3266600 
   19510111     3486205 
   19510112     2954098 
   19510113     1066550 
   19510115     2833880 
   19510116     3738400 
   19510117     3877470 
   19510118     3488050 
   19510119     3166535 
   19510120     1143860 
   19510122     2569180 
   19510123     2077090 
   19510124     1989440 
   19510125     2522110 
   19510126     2234020 
   19510127     1387100 
   19510129     2627130 
   19510130     2477980 
   19510131     2335740 
   19510201     2384940 
   19510202     3029950 
   19510203     1391310 
   19510205     2683600 
   19510206     2365670 
   19510207     2024270 
   19510208     2117000 
   19510209     2545520 
   19510210     1064430 
   19510213     2402758 
   19510214     2050425 
   19510215     1704800 
   19510216     1857940 
   19510217      817960 
   19510219     1908814 
   19510220     2007450 
   19510221     1674500 
   19510223     1541690 
   19510224      684110 
   19510226     1651460 
   19510227     1684610 
   19510228     1638670 
   19510301     1610100 
   19510302     1570870 
   19510303      617300 
   19510305     1692088 
   19510306     1491962 
   19510307     1773290 
   19510308     1435660 
   19510309     1605701 
   19510310      568760 
   19510312     1640324 
   19510313     2332580 
   19510314     2107890 
   19510315     2066840 
   19510316     1657300 
   19510317      630770 
   19510319     1122540 
   19510320     1015900 
   19510321     1313020 
   19510322     1293750 
   19510324      899420 
   19510326     1232300 
   19510327     1249990 
   19510328     1772130 
   19510329     1296350 
   19510330     1147567 
   19510331      480900 
   19510402     1280830 
   19510403     1221820 
   19510404     1302055 
   19510405     1791560 
   19510406     1449870 
   19510407      436290 
   19510409     1114543 
   19510410     1279730 
   19510411     1419855 
   19510412     1532685 
   19510413     2122470 
   19510414      950860 
   19510416     1729120 
   19510417     1465168 
   19510418     1783320 
   19510419     1517270 
   19510420      935370 
   19510421      389480 
   19510423     1164300 
   19510424     1424960 
   19510425     1524840 
   19510426     1796180 
   19510427     2120760 
   19510428      751340 
   19510430     1785058 
   19510501     1759360 
   19510502     1901360 
   19510503     2062640 
   19510504     2047130 
   19510505      591480 
   19510507     1581370 
   19510508     1598480 
   19510509     1961300 
   19510510     1656850 
   19510511     1642870 
   19510512      648640 
   19510514     1253090 
   19510515     2023520 
   19510516     1663400 
   19510517     1368780 
   19510518     1660430 
   19510519      607550 
   19510521     1583030 
   19510522     1441100 
   19510523     1542510 
   19510524     2583820 
   19510525     1209540 
   19510526      419690 
   19510528     1235720 
   19510529     1191480 
   19510531     1221750 
   19510601      980650 
   19510604     1104730 
   19510605     1182620 
   19510606     1199090 
   19510607     1339869 
