     DATE              Volume
     19700102           8057300 
     19700105          11489610 
     19700106          11470830 
     19700107          10013070 
     19700108          10674390 
     19700109           9385500 
     19700112           8898991 
     19700113           9877520 
     19700114          10382530 
     19700115          11112742 
     19700116          11946965 
     19700119           9509380 
     19700120          11053460 
     19700121           9885330 
     19700122          11053860 
     19700123          11009070 
     19700126          10668070 
     19700127           9623530 
     19700128          10508980 
     19700129          12217370 
     19700130          12326380 
     19700202          13442490 
     19700203          16052880 
     19700204          11045250 
     19700205           9442610 
     19700206          10158670 
     19700209          10834830 
     19700210          10111750 
     19700211          12269860 
     19700212          10015840 
     19700213          11065010 
     19700216           9780710 
     19700217          10141860 
     19700218          11958850 
     19700219          12898170 
     19700220          10795250 
     19700224          10815720 
     19700225          13213650 
     19700226          11547290 
     19700227          12900906 
     19700302          12277750 
     19700303          11700760 
     19700304          11859570 
     19700305          11380490 
     19700306          10984980 
     19700309           9768370 
     19700310           9448110 
     19700311           9183220 
     19700312           9149320 
     19700313           9561440 
     19700316           8917660 
     19700317           9090390 
     19700318           9787660 
     19700319           8932860 
     19700320           7919690 
     19700323           7327830 
     19700324           8835610 
     19700325          17507910 
     19700326          11364230 
     19700330           9603170 
     19700331           8369840 
     19700401           9810980 
     19700402          10530160 
     19700403           9921770 
     19700406           8387230 
     19700407           8494560 
     19700408           9074260 
     19700409           9067140 
     19700410          10025000 
     19700413           8812670 
     19700414          10844330 
     19700415           9416370 
     19700416          10255310 
     19700417          10992960 
     19700420           8284190 
     19700421           8492440 
     19700422          10787080 
     19700423          11052730 
     19700424          10415450 
     19700427          10248330 
     19700428          12617200 
     19700429          15799640 
     19700430           9883560 
     19700501           8295530 
     19700504          11445680 
     19700505          10589070 
     19700506          14387480 
     19700507           9530070 
     19700508           6932370 
     19700511           6659710 
     19700512          10856970 
     19700513          10724330 
     19700514          13923600 
     19700515          14580740 
     19700518           8285490 
     19700519           9485380 
     19700520          13021180 
     19700521          16713010 
     19700522          12175250 
     19700525          12655670 
     19700526          17036060 
     19700527          17439370 
     19700528          18910467 
     19700529          14639400 
     19700601          15027420 
     19700602          13489420 
     19700603          16607170 
     19700604          14384950 
     19700605          12452030 
     19700608           8037050 
     19700609           7059460 
     19700610           7245050 
     19700611           7777230 
     19700612           8873580 
     19700615           6926370 
     19700616          11313740 
     19700617           9875830 
     19700618           8873270 
     19700619          10981440 
     19700622           8709360 
     19700623          10761750 
     19700624          12630830 
     19700625           8203500 
     19700626           9164000 
     19700629           8774400 
     19700630           9289690 
     19700701           8621210 
     19700702           8448910 
     19700706           9343090 
     19700707          10477970 
     19700708          10971500 
     19700709          12823910 
     19700710          10165059 
     19700713           7452300 
     19700714           7362500 
     19700715           8865430 
     19700716          12200300 
     19700717          13873170 
     19700720          11667570 
     19700721           9948420 
     19700722          12468770 
     19700723          12465520 
     19700724           9521230 
     19700727           7469250 
     19700728           9049570 
     19700729          12586400 
     19700730          10441950 
     19700731          11648640 
     19700803           7656070 
     19700804           8318090 
     19700805           7662680 
     19700806           7561780 
     19700807           9373250 
     19700810           7583220 
     19700811           7339210 
     19700812           7440630 
     19700813           8651270 
     19700814           7859510 
     19700817           6941250 
     19700818           9516073 
     19700819           9875300 
     19700820          10194840 
     19700821          13427880 
     19700824          18911210 
     19700825          17529830 
     19700826          15967660 
     19700827          12437030 
     19700828          13823460 
     19700831          10743310 
     19700901          10447660 
     19700902           9716950 
     19700903          14115750 
     19700904          15368090 
     19700908          17119270 
     19700909          16254220 
     19700910          11907350 
     19700911          12151020 
     19700914          11909680 
     19700915           9838520 
     19700916          12094700 
     19700917          15535030 
     19700918          15899840 
     19700921          12544450 
     19700922          12113900 
     19700923          16943520 
     19700924          21345010 
     19700925          20475570 
     19700928          14396550 
     19700929          17880690 
     19700930          14833800 
     19701001           9707250 
     19701002          15426748 
     19701005          19760320 
     19701006          20262470 
     19701007          15619430 
     19701008          14501740 
     19701009          13988120 
     19701012           8570950 
     19701013           9502600 
     19701014           9920500 
     19701015          11258720 
     19701016          11308940 
     19701019           9897600 
     19701020          10635710 
     19701021          11332030 
     19701022           9007250 
     19701023          10278500 
     19701026           9208670 
     19701027           9673240 
     19701028          10665800 
     19701029          10448580 
     19701030          10528420 
     19701102           9467740 
     19701103          11768710 
     19701104          12186720 
     19701105          10802270 
     19701106           9970590 
