     DATE           Volume
     19600104       3987860 
     19600105       3712080 
     19600106       3729630 
     19600107       3310986 
     19600108       3286530 
     19600111       3466305 
     19600112       3764396 
     19600113       3467780 
     19600114       3560265 
     19600115       3421950 
     19600118       3019020 
     19600119       3096460 
     19600120       2716590 
     19600121       2697190 
     19600122       2689830 
     19600125       2792510 
     19600126       3062360 
     19600127       2462820 
     19600128       2626800 
     19600129       3061000 
     19600201       2824559 
     19600202       3077050 
     19600203       3021620 
     19600204       2617190 
     19600205       2534790 
     19600208       3348370 
     19600209       2859070 
     19600210       2441110 
     19600211       2605940 
     19600212       2229470 
     19600215       2772220 
     19600216       3277760 
     19600217       4208420 
     19600218       3798430 
     19600219       3233520 
     19600223       2959890 
     19600224       2744425 
     19600225       3601430 
     19600226       3383900 
     19600229       2994190 
     19600301       2915010 
     19600302       3111790 
     19600303       3160360 
     19600304       4058345 
     19600307       2901770 
     19600308       3385499 
     19600309       3575785 
     19600310       3347600 
     19600311       2769410 
     19600314       2535530 
     19600315       2686100 
     19600316       2964470 
     19600317       2143220 
     19600318       2618980 
     19600321       2494880 
     19600322       2497540 
     19600323       3020820 
     19600324       2943550 
     19600325       2637134 
     19600328       2485670 
     19600329       2317540 
     19600330       2446940 
     19600331       2697280 
     19600401       2260120 
     19600404       2450580 
     19600405       2842220 
     19600406       3451530 
     19600407       3072490 
     19600408       2821250 
     19600411       2515060 
     19600412       2471240 
     19600413       2734380 
     19600414       2730320 
     19600418       3197140 
     19600419       3082720 
     19600420       3147810 
     19600421       2689687 
     19600422       2851780 
     19600425       2982050 
     19600426       2942550 
     19600427       3018170 
     19600428       3187790 
     19600429       2842400 
     19600502       2939445 
     19600503       2914380 
     19600504       2869760 
     19600505       2667440 
     19600506       2564480 
     19600509       2669190 
     19600510       2882460 
     19600511       2900760 
     19600512       3215580 
     19600513       3752980 
     19600516       3534700 
     19600517       4075550 
     19600518       5243120 
     19600519       3704280 
     19600520       3167710 
     19600523       2532400 
     19600524       3235055 
     19600525       3451920 
     19600526       3717460 
     19600527       3039130 
     19600531       3749030 
     19600601       3776180 
     19600602       3727870 
     19600603       3338290 
     19600606       3217950 
     19600607       3719940 
     19600608       3807090 
     19600609       3820670 
     19600610       2940060 
     19600613       3186440 
     19600614       2431750 
     19600615       3630470 
     19600616       3529440 
     19600617       3923000 
     19600620       3973020 
     19600621       3862590 
     19600622       3602060 
     19600623       3622530 
     19600624       3219330 
     19600627       2968690 
     19600628       3124290 
     19600629       3169945 
     19600630       2941260 
     19600701       2616279 
     19600705       2781800 
     19600706       2966290 
     19600707       3054900 
     19600708       3013440 
     19600711       2923010 
     19600712       2864940 
     19600713       2587611 
     19600714       2477010 
     19600715       2143965 
     19600718       2352050 
